# The first column contains the cpu time with 12 threads, and the second column contains the gpu times. 
0.001014, 0.0012186
0.0008848, 0.0012463
0.001176, 0.0014022
0.0013741, 0.0012757
0.0009436, 0.0011157
0.0009682, 0.0011058
0.0011447, 0.0012386
0.0012339, 0.0010948
0.0013428, 0.0012298
0.0011849, 0.0012131
0.0008787, 0.0011748
0.0009675, 0.0013548
0.0010446, 0.0011882
0.000976, 0.0010973
0.0010302, 0.001093
0.0009038, 0.0011304
0.0008753, 0.0012409
0.001055, 0.0012321
0.001011, 0.0012275
0.0009241, 0.0011229
0.0011523, 0.0011338
0.0008407, 0.0012498
0.0008882, 0.0012624
0.0009941, 0.00104
0.0010105, 0.0010881
0.0009415, 0.0011374
0.0008637, 0.001047
0.0009571, 0.0013285
0.0012277, 0.0011683
0.0008702, 0.0011646
0.0009704, 0.0011836
0.001001, 0.0011476
0.0009519, 0.0011181
0.0010759, 0.001203
0.0010114, 0.0011174
0.0008705, 0.0011952
0.0008864, 0.0011604
0.0011678, 0.001046
0.001028, 0.0011616
0.0011032, 0.0012592
0.0008369, 0.0012851
0.0009148, 0.0011109
0.0011068, 0.0012858
0.0010115, 0.0011605
0.0014139, 0.0012179
0.0011486, 0.0012426
0.000975, 0.0011832
0.0012095, 0.0011949
0.0008902, 0.0012367
0.0012725, 0.001144
0.0010162, 0.0011876
0.000993, 0.0012263
0.00095, 0.0010619
0.000988, 0.0011738
0.0011, 0.0011642
0.0009388, 0.0010769
0.0008309, 0.0011018
0.0011144, 0.001245
0.0010364, 0.0012507
0.0010254, 0.0012209
0.0012003, 0.0012265
0.0009397, 0.0011377
0.0010835, 0.0012171
0.0008067, 0.0011418
0.0009157, 0.0011283
0.000856, 0.0012012
0.0010579, 0.0010891
0.0010402, 0.0010893
0.0010059, 0.0010634
0.0009727, 0.0013593
0.0011166, 0.0011984
0.0011381, 0.0012544
0.0009672, 0.0012396
0.0010095, 0.0011253
0.0008695, 0.0010475
0.0008442, 0.0011055
0.0009792, 0.0012036
0.00099, 0.0010752
0.0010416, 0.0011435
0.0008395, 0.0011635
0.0010277, 0.0011046
0.000969, 0.0011569
0.0009006, 0.0012482
0.0010438, 0.0011952
0.0008618, 0.0013142
0.0009546, 0.0011479
0.0008622, 0.0011713
0.0011765, 0.0011766
0.0011524, 0.0011006
0.0010189, 0.001137
0.0009805, 0.0011994
0.0009944, 0.0011567
0.0008206, 0.0012351
0.0009969, 0.001277
0.0011123, 0.0012137
0.0009863, 0.0010572
0.0010076, 0.0011888
0.0009221, 0.0011559
0.0010374, 0.0014182
0.0011292, 0.0011718
