# The first column contains the cpu time with 12 threads, and the second column contains the gpu times. 
0.0015017, 0.0009034
0.0013849, 0.0008792
0.0012796, 0.0007465
0.000984, 0.0007474
0.0011159, 0.0006842
0.0009556, 0.0007311
0.0013809, 0.0007577
0.0010776, 0.0007922
0.0010399, 0.0007271
0.0011744, 0.000793
0.0011577, 0.0006873
0.0011408, 0.0006674
0.0012291, 0.0008256
0.0015529, 0.0006484
0.0009705, 0.0006222
0.0010819, 0.0006846
0.0010711, 0.0006724
0.000997, 0.000742
0.0011846, 0.0007567
0.0013823, 0.000728
0.0010268, 0.0007713
0.0012078, 0.0007871
0.0012765, 0.0008655
0.0014963, 0.0006693
0.0010602, 0.0006919
0.0011745, 0.0006669
0.0010717, 0.0007755
0.0011032, 0.0006865
0.0011155, 0.0006562
0.0010937, 0.0007682
0.0011053, 0.0006819
0.0009598, 0.0006656
0.0010514, 0.0007047
0.0010718, 0.0008854
0.0013712, 0.0007899
0.0014054, 0.000776
0.0009842, 0.0007721
0.0009921, 0.0006745
0.0010543, 0.0006984
0.0010925, 0.0006688
0.0010572, 0.0006751
0.0010642, 0.0006536
0.0011999, 0.00074
0.0011255, 0.0007331
0.00119, 0.0008204
0.001421, 0.0006715
0.0012372, 0.0007952
0.0012425, 0.0007353
0.0011679, 0.0007452
0.0012594, 0.0007335
0.0011184, 0.0006401
0.0010254, 0.0007454
0.0010596, 0.0006989
0.0010004, 0.00075
0.001069, 0.0007694
0.0011276, 0.0008229
0.0012999, 0.000742
0.0012275, 0.0006862
0.0012826, 0.0007347
0.0011836, 0.0006915
0.0012322, 0.0007381
0.0013921, 0.0007949
0.0013847, 0.0007892
0.001463, 0.0008369
0.0011163, 0.0009292
0.0011492, 0.0007419
0.0010921, 0.0007055
0.0013163, 0.0008074
0.0011915, 0.0007661
0.0010394, 0.000687
0.0013444, 0.0008272
0.0016176, 0.00091
0.0014, 0.0008399
0.0013096, 0.0007399
0.0010449, 0.0006793
0.0015173, 0.0007506
0.0011884, 0.0007682
0.001189, 0.0007504
0.0011211, 0.000709
0.0011445, 0.0006889
0.0010929, 0.0007155
0.0010982, 0.0006955
0.001023, 0.0006867
0.0012833, 0.000778
0.0013186, 0.0006849
0.0015019, 0.000677
0.0011983, 0.0007039
0.0011732, 0.000671
0.0011384, 0.0007612
0.0013847, 0.0006461
0.0010847, 0.0007606
0.0010854, 0.0007377
0.0011363, 0.0007714
0.0011805, 0.0009
0.0015261, 0.0006817
0.0010167, 0.0006961
0.0009975, 0.0007513
0.0011945, 0.0006993
0.0012692, 0.0006984
0.0011079, 0.0007018
